城市,日期,温度,天气,湿度,风向,紫外线,空气质量,PM值,日出,日落
阿城,2024年12月25日　星期三　甲辰年冬月廿五,-7℃,晴-16 ~ -6℃,湿度：70%,风向：西南风 4级,紫外线：弱,空气质量：良,PM: 65,07:10,15:53
昂昂溪,2024年12月25日　星期三　甲辰年冬月廿五,-17℃,晴-19 ~ -13℃,湿度：79%,风向：北风 3级,紫外线：很弱,空气质量：优,PM: 18,07:29,15:59
爱民,2024年12月25日　星期三　甲辰年冬月廿五,-4℃,轻度雾霾-15 ~ -2℃,湿度：67%,风向：西南风 3级,紫外线：弱,空气质量：轻度污染,PM: 93,06:56,15:46
安达,2024年12月25日　星期三　甲辰年冬月廿五,-13℃,晴-19 ~ -8℃,湿度：73%,风向：西风 3级,紫外线：弱,空气质量：良,PM: 61,07:20,15:56
爱辉,2024年12月25日　星期三　甲辰年冬月廿五,-17℃,阴-22 ~ -15℃,湿度：75%,风向：北风 3级,紫外线：很弱,空气质量：优,PM: 13,07:28,15:31
安图,2024年12月25日　星期三　甲辰年冬月廿五,-12℃,晴-16 ~ -3℃,湿度：84%,风向：西风 3级,紫外线：弱,空气质量：良,PM: 34,06:54,15:54
鞍山,2024年12月25日　星期三　甲辰年冬月廿五,3℃,轻度雾霾-6 ~ 5℃,湿度：63%,风向：西南风 3级,紫外线：弱,空气质量：轻度污染,PM: 83,07:11,16:24
阿旗,2024年12月25日　星期三　甲辰年冬月廿五,-4℃,晴-12 ~ -4℃,湿度：34%,风向：西风 5级,紫外线：弱,空气质量：优,PM: 0,07:32,16:27
敖汉,2024年12月25日　星期三　甲辰年冬月廿五,-3℃,晴-13 ~ -2℃,湿度：56%,风向：西风 5级,紫外线：弱,空气质量：良,PM: 39,07:27,16:33
阿鲁科尔沁旗,2024年12月25日　星期三　甲辰年冬月廿五,-4℃,晴-12 ~ -4℃,湿度：34%,风向：西风 5级,紫外线：弱,空气质量：优,PM: 0,07:32,16:27
阿巴嘎,2024年12月25日　星期三　甲辰年冬月廿五,-18℃,阴-19 ~ -12℃,湿度：69%,风向：西风 5级,紫外线：无,空气质量：优,PM: 15,07:53,16:47
阿荣旗,2024年12月25日　星期三　甲辰年冬月廿五,-11℃,小雪-20 ~ -11℃,湿度：69%,风向：北风 4级,紫外线：很弱,空气质量：优,PM: 31,07:35,15:57
阿尔山,2024年12月25日　星期三　甲辰年冬月廿五,-18℃,雾-22 ~ -14℃,湿度：79%,风向：西北风 2级,紫外线：很弱,空气质量：优,PM: 0,07:45,16:15
阿拉善盟,2024年12月25日　星期三　甲辰年冬月廿五,-9℃,多云-10 ~ -4℃,湿度：51%,风向：东北风 2级,紫外线：很弱,空气质量：优,PM: 3,08:13,17:40
阿拉善左旗,2024年12月25日　星期三　甲辰年冬月廿五,-9℃,多云-9 ~ -3℃,湿度：53%,风向：东北风 2级,紫外线：很弱,空气质量：优,PM: 23,08:13,17:41
阿拉善右旗,2024年12月25日　星期三　甲辰年冬月廿五,-12℃,晴-12 ~ -5℃,湿度：41%,风向：西北风 2级,紫外线：无,空气质量：优,PM: 30,08:31,17:55
安新,2024年12月25日　星期三　甲辰年冬月廿五,-5℃,中度雾霾-5 ~ 6℃,湿度：73%,风向：西南风 2级,紫外线：很弱,空气质量：中度污染,PM: 125,07:33,16:59
安国,2024年12月25日　星期三　甲辰年冬月廿五,-5℃,轻度雾霾-5 ~ 8℃,湿度：78%,风向：西南风 2级,紫外线：很弱,空气质量：轻度污染,PM: 82,07:34,17:03
安次,2024年12月25日　星期三　甲辰年冬月廿五,-3℃,中度雾霾-4 ~ 5℃,湿度：71%,风向：西南风 1级,紫外线：弱,空气质量：中度污染,PM: 116,07:31,16:54
安平,2024年12月25日　星期三　甲辰年冬月廿五,1℃,中度雾霾-5 ~ 6℃,湿度：69%,风向：西南风 2级,紫外线：弱,空气质量：中度污染,PM: 125,07:32,17:03
安庆,2024年12月25日　星期三　甲辰年冬月廿五,3℃,轻度雾霾3 ~ 12℃,湿度：80%,风向：东北风 1级,紫外线：很弱,空气质量：轻度污染,PM: 100,07:06,17:17
安顺,2024年12月25日　星期三　甲辰年冬月廿五,3℃,雾3 ~ 9℃,湿度：99%,风向：东风 2级,紫外线：很弱,空气质量：优,PM: 17,07:41,18:11
宝山,2024年12月25日　星期三　甲辰年冬月廿五,9℃,雾4 ~ 12℃,湿度：83%,风向：东风 2级,紫外线：很弱,空气质量：优,PM: 33,06:50,16:57
北塘,2024年12月25日　星期三　甲辰年冬月廿五,7℃,雾7 ~ 12℃,湿度：93%,风向：东南风 2级,紫外线：很弱,空气质量：良,PM: 51,06:56,17:01
滨湖,2024年12月25日　星期三　甲辰年冬月廿五,8℃,雾4 ~ 11℃,湿度：92%,风向：东南风 2级,紫外线：很弱,空气质量：良,PM: 34,06:55,17:02
宝应,2024年12月25日　星期三　甲辰年冬月廿五,5℃,轻度雾霾3 ~ 11℃,湿度：78%,风向：东南风 1级,紫外线：很弱,空气质量：轻度污染,PM: 85,07:03,17:01
保康,2024年12月25日　星期三　甲辰年冬月廿五,5℃,晴-1 ~ 7℃,湿度：66%,风向：西风 1级,紫外线：中等,空气质量：优,PM: 16,07:32,17:37
巴东,2024年12月25日　星期三　甲辰年冬月廿五,8℃,多云5 ~ 8℃,湿度：73%,风向：东南风 1级,紫外线：很弱,空气质量：良,PM: 71,07:34,17:42
滨江,2024年12月25日　星期三　甲辰年冬月廿五,11℃,多云6 ~ 12℃,湿度：67%,风向：西风 1级,紫外线：很弱,空气质量：良,PM: 50,06:53,17:05
北仑,2024年12月25日　星期三　甲辰年冬月廿五,8℃,雾8 ~ 15℃,湿度：92%,风向：西风 1级,紫外线：很弱,空气质量：良,PM: 53,06:45,16:59
包河,2024年12月25日　星期三　甲辰年冬月廿五,8℃,轻度雾霾3 ~ 11℃,湿度：71%,风向：北风 1级,紫外线：弱,空气质量：轻度污染,PM: 85,07:08,17:13
蚌埠,2024年12月25日　星期三　甲辰年冬月廿五,5℃,轻度雾霾1 ~ 10℃,湿度：76%,风向：西北风 1级,紫外线：弱,空气质量：轻度污染,PM: 101,07:10,17:10
蚌山,2024年12月25日　星期三　甲辰年冬月廿五,7℃,轻度雾霾1 ~ 10℃,湿度：74%,风向：北风 1级,紫外线：中等,空气质量：轻度污染,PM: 98,07:11,17:10
八公山,2024年12月25日　星期三　甲辰年冬月廿五,8℃,中度雾霾2 ~ 9℃,湿度：67%,风向：西北风 1级,紫外线：中等,空气质量：中度污染,PM: 133,07:12,17:13
博望,2024年12月25日　星期三　甲辰年冬月廿五,5℃,轻度雾霾5 ~ 12℃,湿度：82%,风向：西南风 1级,紫外线：弱,空气质量：轻度污染,PM: 82,07:01,17:07
亳州,2024年12月25日　星期三　甲辰年冬月廿五,6℃,轻度雾霾-2 ~ 9℃,湿度：77%,风向：西北风 1级,紫外线：中等,空气质量：轻度污染,PM: 91,07:19,17:14
北湖,2024年12月25日　星期三　甲辰年冬月廿五,6℃,轻度雾霾4 ~ 13℃,湿度：71%,风向：北风 1级,紫外线：弱,空气质量：轻度污染,PM: 90,07:12,17:44
北塔,2024年12月25日　星期三　甲辰年冬月廿五,7℃,轻度雾霾2 ~ 13℃,湿度：77%,风向：东北风 1级,紫外线：中等,空气质量：轻度污染,PM: 78,07:21,17:47
保靖,2024年12月25日　星期三　甲辰年冬月廿五,7℃,雾4 ~ 10℃,湿度：79%,风向：东北风 1级,紫外线：很弱,空气质量：良,PM: 64,07:31,17:51
贵阳白云,2024年12月25日　星期三　甲辰年冬月廿五,3℃,雾2 ~ 7℃,湿度：97%,风向：东北风 2级,紫外线：很弱,空气质量：良,PM: 48,07:39,18:07
碧江,2024年12月25日　星期三　甲辰年冬月廿五,8℃,雾5 ~ 9℃,湿度：52%,风向：东北风 1级,紫外线：很弱,空气质量：良,PM: 61,07:31,17:55
播州,2024年12月25日　星期三　甲辰年冬月廿五,2℃,雾2 ~ 6℃,湿度：100%,风向：东北风 1级,紫外线：很弱,空气质量：良,PM: 68,07:40,18:05
毕节,2024年12月25日　星期三　甲辰年冬月廿五,2℃,雾1 ~ 4℃,湿度：93%,风向：北风 2级,紫外线：很弱,空气质量：优,PM: 3,07:46,18:11
北海,2024年12月25日　星期三　甲辰年冬月廿五,19℃,轻度雾霾16 ~ 21℃,湿度：56%,风向：东北风 3级,紫外线：很弱,空气质量：轻度污染,PM: 80,07:18,18:08
昌平,2024年12月25日　星期三　甲辰年冬月廿五,-7℃,晴-7 ~ 4℃,湿度：68%,风向：西北风 2级,紫外线：无,空气质量：良,PM: 42,07:35,16:54
澄城,2024年12月25日　星期三　甲辰年冬月廿五,-1℃,多云-4 ~ 5℃,湿度：67%,风向：西南风 1级,紫外线：很弱,空气质量：良,PM: 69,07:46,17:34
城北,2024年12月25日　星期三　甲辰年冬月廿五,-9℃,雾-14 ~ -1℃,湿度：81%,风向：北风 1级,紫外线：很弱,空气质量：轻度污染,PM: 108,08:23,18:02
常熟,2024年12月25日　星期三　甲辰年冬月廿五,7℃,雾5 ~ 12℃,湿度：90%,风向：东风 2级,紫外线：很弱,空气质量：良,PM: 59,06:54,16:59
常州,2024年12月25日　星期三　甲辰年冬月廿五,7℃,多云6 ~ 12℃,湿度：82%,风向：东南风 2级,紫外线：很弱,空气质量：良,PM: 63,06:57,17:02
常山,2024年12月25日　星期三　甲辰年冬月廿五,10℃,晴6 ~ 15℃,湿度：88%,风向：北风 1级,紫外线：中等,空气质量：良,PM: 67,06:56,17:15
长丰,2024年12月25日　星期三　甲辰年冬月廿五,6℃,中度雾霾4 ~ 10℃,湿度：65%,风向：西北风 1级,紫外线：弱,空气质量：中度污染,PM: 120,07:10,17:12
巢湖,2024年12月25日　星期三　甲辰年冬月廿五,7℃,轻度雾霾3 ~ 11℃,湿度：83%,风向：西北风 1级,紫外线：很弱,空气质量：轻度污染,PM: 91,07:05,17:11
滁州,2024年12月25日　星期三　甲辰年冬月廿五,4℃,晴1 ~ 12℃,湿度：75%,风向：北风 1级,紫外线：弱,空气质量：良,PM: 63,07:05,17:07
池州,2024年12月25日　星期三　甲辰年冬月廿五,5℃,轻度雾霾5 ~ 12℃,湿度：81%,风向：东北风 0级,紫外线：很弱,空气质量：轻度污染,PM: 92,07:05,17:15
长乐,2024年12月25日　星期三　甲辰年冬月廿五,15℃,阴12 ~ 19℃,湿度：68%,风向：北风 2级,紫外线：很弱,空气质量：优,PM: 13,06:46,17:17
仓山,2024年12月25日　星期三　甲辰年冬月廿五,14℃,多云12 ~ 21℃,湿度：68%,风向：西北风 1级,紫外线：很弱,空气质量：优,PM: 13,06:47,17:18
城厢,2024年12月25日　星期三　甲辰年冬月廿五,15℃,多云13 ~ 22℃,湿度：66%,风向：北风 2级,紫外线：很弱,空气质量：优,PM: 3,06:47,17:20
崇武,2024年12月25日　星期三　甲辰年冬月廿五,17℃,多云14 ~ 18℃,湿度：71%,风向：东北风 4级,紫外线：弱,空气质量：优,PM: 11,06:46,17:22
长泰,2024年12月25日　星期三　甲辰年冬月廿五,16℃,多云14 ~ 22℃,湿度：84%,风向：北风 1级,紫外线：很弱,空气质量：优,PM: 30,06:50,17:27
长汀,2024年12月25日　星期三　甲辰年冬月廿五,10℃,晴5 ~ 17℃,湿度：76%,风向：西北风 1级,紫外线：中等,空气质量：优,PM: 29,06:58,17:30
崇仁,2024年12月25日　星期三　甲辰年冬月廿五,9℃,晴4 ~ 15℃,湿度：84%,风向：东北风 2级,紫外线：中等,空气质量：良,PM: 61,07:04,17:27
崇义,2024年12月25日　星期三　甲辰年冬月廿五,7℃,晴5 ~ 15℃,湿度：80%,风向：北风 1级,紫外线：弱,空气质量：良,PM: 44,07:06,17:39
昌江区,2024年12月25日　星期三　甲辰年冬月廿五,9℃,晴4 ~ 13℃,湿度：90%,风向：西北风 1级,紫外线：中等,空气质量：良,PM: 46,07:03,17:19
长沙,2024年12月25日　星期三　甲辰年冬月廿五,7℃,轻度雾霾2 ~ 12℃,湿度：67%,风向：北风 2级,紫外线：中等,空气质量：轻度污染,PM: 102,07:17,17:39
茶陵,2024年12月25日　星期三　甲辰年冬月廿五,8℃,轻度雾霾4 ~ 15℃,湿度：72%,风向：西北风 1级,紫外线：中等,空气质量：轻度污染,PM: 90,07:12,17:39
常宁,2024年12月25日　星期三　甲辰年冬月廿五,8℃,轻度雾霾5 ~ 14℃,湿度：69%,风向：北风 1级,紫外线：中等,空气质量：轻度污染,PM: 80,07:15,17:45
郴州,2024年12月25日　星期三　甲辰年冬月廿五,6℃,轻度雾霾4 ~ 13℃,湿度：74%,风向：东北风 1级,紫外线：很弱,空气质量：轻度污染,PM: 87,07:12,17:44
常德,2024年12月25日　星期三　甲辰年冬月廿五,5℃,雾5 ~ 10℃,湿度：59%,风向：东北风 1级,紫外线：很弱,空气质量：中度污染,PM: 128,07:24,17:42
城步,2024年12月25日　星期三　甲辰年冬月廿五,5℃,晴1 ~ 14℃,湿度：68%,风向：东风 1级,紫外线：弱,空气质量：良,PM: 63,07:24,17:53
成都,2024年12月25日　星期三　甲辰年冬月廿五,6℃,多云6 ~ 10℃,湿度：98%,风向：北风 1级,紫外线：无,空气质量：良,PM: 50,07:58,18:09
丁青,2024年12月25日　星期三　甲辰年冬月廿五,-5℃,晴-13 ~ -1℃,湿度：61%,风向：西南风 1级,紫外线：中等,空气质量：优,PM: 0,08:34,18:41
大通回族,2024年12月25日　星期三　甲辰年冬月廿五,-12℃,雾-16 ~ -4℃,湿度：75%,风向：北风 1级,紫外线：很弱,空气质量：轻度污染,PM: 101,08:24,18:02
达日,2024年12月25日　星期三　甲辰年冬月廿五,-9℃,多云-11 ~ -3℃,湿度：41%,风向：南风 1级,紫外线：很弱,空气质量：优,PM: 15,08:24,18:19
多县,2024年12月25日　星期三　甲辰年冬月廿五,-14℃,雾-14 ~ -8℃,湿度：59%,风向：北风 2级,紫外线：很弱,空气质量：优,PM: 0,08:32,18:21
大柴旦,2024年12月25日　星期三　甲辰年冬月廿五,-15℃,晴-17 ~ -9℃,湿度：41%,风向：东南风 1级,紫外线：无,空气质量：优,PM: 0,08:52,18:25
都兰,2024年12月25日　星期三　甲辰年冬月廿五,-13℃,雾-14 ~ -4℃,湿度：57%,风向：东南风 2级,紫外线：无,空气质量：优,PM: 8,08:36,18:18
德令哈,2024年12月25日　星期三　甲辰年冬月廿五,-14℃,多云-18 ~ -7℃,湿度：55%,风向：东北风 2级,紫外线：无,空气质量：优,PM: 13,08:42,18:18
定西,2024年12月25日　星期三　甲辰年冬月廿五,-8℃,雾-8 ~ -1℃,湿度：75%,风向：西北风 1级,紫外线：无,空气质量：良,PM: 72,08:08,17:54
敦煌,2024年12月25日　星期三　甲辰年冬月廿五,-9℃,雾-10 ~ -5℃,湿度：62%,风向：西风 2级,紫外线：很弱,空气质量：优,PM: 0,09:01,18:21
宕昌,2024年12月25日　星期三　甲辰年冬月廿五,-5℃,晴-6 ~ 1℃,湿度：65%,风向：东北风 1级,紫外线：很弱,空气质量：良,PM: 32,08:05,17:59
东乡族,2024年12月25日　星期三　甲辰年冬月廿五,-9℃,雾-9 ~ -2℃,湿度：76%,风向：西北风 1级,紫外线：很弱,空气质量：轻度污染,PM: 115,08:14,17:59
迭部,2024年12月25日　星期三　甲辰年冬月廿五,-6℃,晴-7 ~ -0℃,湿度：77%,风向：东风 1级,紫外线：弱,空气质量：良,PM: 52,08:10,18:03
大武口,2024年12月25日　星期三　甲辰年冬月廿五,-6℃,中度雾霾-10 ~ -2℃,湿度：79%,风向：西北风 1级,紫外线：很弱,空气质量：中度污染,PM: 131,08:11,17:37
登封,2024年12月25日　星期三　甲辰年冬月廿五,10℃,轻度雾霾1 ~ 10℃,湿度：34%,风向：西风 2级,紫外线：弱,空气质量：轻度污染,PM: 80,07:32,17:23
邓州,2024年12月25日　星期三　甲辰年冬月廿五,3℃,轻度雾霾1 ~ 11℃,湿度：82%,风向：西风 1级,紫外线：弱,空气质量：轻度污染,PM: 88,07:31,17:31
郸城,2024年12月25日　星期三　甲辰年冬月廿五,3℃,轻度雾霾-2 ~ 9℃,湿度：77%,风向：西北风 1级,紫外线：弱,空气质量：轻度污染,PM: 109,07:21,17:17
丹阳,2024年12月25日　星期三　甲辰年冬月廿五,7℃,轻度雾霾4 ~ 11℃,湿度：84%,风向：西北风 1级,紫外线：弱,空气质量：轻度污染,PM: 90,06:59,17:03
丹徒,2024年12月25日　星期三　甲辰年冬月廿五,6℃,轻度雾霾2 ~ 11℃,湿度：89%,风向：西北风 1级,紫外线：中等,空气质量：轻度污染,PM: 81,07:00,17:03
东台,2024年12月25日　星期三　甲辰年冬月廿五,6℃,晴3 ~ 12℃,湿度：79%,风向：北风 1级,紫外线：弱,空气质量：良,PM: 63,06:59,16:58
大丰,2024年12月25日　星期三　甲辰年冬月廿五,6℃,轻度雾霾-0 ~ 10℃,湿度：86%,风向：南风 1级,紫外线：弱,空气质量：轻度污染,PM: 78,06:59,16:57
鄂州,2024年12月25日　星期三　甲辰年冬月廿五,6℃,轻度雾霾4 ~ 10℃,湿度：75%,风向：西北风 1级,紫外线：弱,空气质量：轻度污染,PM: 93,07:14,17:26
峨山,2024年12月25日　星期三　甲辰年冬月廿五,11℃,晴5 ~ 18℃,湿度：100%,风向：西南风 2级,紫外线：中等,空气质量：良,PM: 39,07:51,18:29
丰台,2024年12月25日　星期三　甲辰年冬月廿五,-6℃,晴-6 ~ 5℃,湿度：71%,风向：北风 1级,紫外线：很弱,空气质量：良,PM: 48,07:34,16:55
房山,2024年12月25日　星期三　甲辰年冬月廿五,-8℃,晴-8 ~ 7℃,湿度：88%,风向：北风 1级,紫外线：很弱,空气质量：良,PM: 48,07:34,16:56
奉贤,2024年12月25日　星期三　甲辰年冬月廿五,10℃,雾3 ~ 14℃,湿度：90%,风向：南风 2级,紫外线：很弱,空气质量：优,PM: 30,06:49,16:58
涪陵,2024年12月25日　星期三　甲辰年冬月廿五,8℃,轻度雾霾转小雨7 ~ 10℃,湿度：77%,风向：北风 1级,紫外线：很弱,空气质量：轻度污染,PM: 85,07:43,17:57
奉节,2024年12月25日　星期三　甲辰年冬月廿五,8℃,轻度雾霾4 ~ 11℃,湿度：68%,风向：东北风 1级,紫外线：很弱,空气质量：轻度污染,PM: 86,07:38,17:46
丰都,2024年12月25日　星期三　甲辰年冬月廿五,9℃,轻度雾霾7 ~ 10℃,湿度：94%,风向：东风 1级,紫外线：无,空气质量：轻度污染,PM: 88,07:42,17:56
方正,2024年12月25日　星期三　甲辰年冬月廿五,-4℃,多云-15 ~ -4℃,湿度：72%,风向：西南风 3级,紫外线：弱,空气质量：优,PM: 0,07:04,15:44
富裕,2024年12月25日　星期三　甲辰年冬月廿五,-14℃,晴-23 ~ -13℃,湿度：74%,风向：北风 4级,紫外线：弱,空气质量：优,PM: 31,07:29,15:54
峰峰,2024年12月25日　星期三　甲辰年冬月廿五,1℃,雾-1 ~ 7℃,湿度：62%,风向：西南风 1级,紫外线：很弱,空气质量：轻度污染,PM: 105,07:32,17:13
肥乡,2024年12月25日　星期三　甲辰年冬月廿五,1℃,雾-4 ~ 6℃,湿度：79%,风向：西南风 2级,紫外线：很弱,空气质量：重度污染,PM: 160,07:30,17:11
复兴,2024年12月25日　星期三　甲辰年冬月廿五,2℃,雾-3 ~ 7℃,湿度：82%,风向：南风 2级,紫外线：很弱,空气质量：中度污染,PM: 134,07:32,17:12
抚宁,2024年12月25日　星期三　甲辰年冬月廿五,-1℃,轻度雾霾-5 ~ 6℃,湿度：72%,风向：西风 2级,紫外线：弱,空气质量：轻度污染,PM: 83,07:22,16:43
汾西,2024年12月25日　星期三　甲辰年冬月廿五,-0℃,雾-5 ~ 5℃,湿度：30%,风向：西北风 2级,紫外线：很弱,空气质量：中度污染,PM: 123,07:44,17:23
浮山,2024年12月25日　星期三　甲辰年冬月廿五,1℃,雾-4 ~ 4℃,湿度：56%,风向：西北风 2级,紫外线：很弱,空气质量：中度污染,PM: 116,07:41,17:24
繁峙,2024年12月25日　星期三　甲辰年冬月廿五,-6℃,晴-11 ~ -3℃,湿度：52%,风向：西北风 2级,紫外线：很弱,空气质量：良,PM: 22,07:44,17:09
方山,2024年12月25日　星期三　甲辰年冬月廿五,-8℃,多云-9 ~ -2℃,湿度：70%,风向：北风 2级,紫外线：很弱,空气质量：良,PM: 49,07:48,17:21
汾阳,2024年12月25日　星期三　甲辰年冬月廿五,-5℃,多云-6 ~ 5℃,湿度：69%,风向：西北风 2级,紫外线：很弱,空气质量：良,PM: 50,07:44,17:21
富县,2024年12月25日　星期三　甲辰年冬月廿五,-6℃,阴-7 ~ 3℃,湿度：81%,风向：东北风 3级,紫外线：很弱,空气质量：良,PM: 56,07:50,17:34
府谷,2024年12月25日　星期三　甲辰年冬月廿五,-8℃,晴-10 ~ -1℃,湿度：67%,风向：西风 1级,紫外线：弱,空气质量：良,PM: 21,07:52,17:18
富平,2024年12月25日　星期三　甲辰年冬月廿五,-2℃,晴-2 ~ 7℃,湿度：76%,风向：西南风 1级,紫外线：无,空气质量：良,PM: 73,07:48,17:38
佛坪,2024年12月25日　星期三　甲辰年冬月廿五,-0℃,晴-4 ~ 6℃,湿度：90%,风向：北风 2级,紫外线：弱,空气质量：良,PM: 66,07:50,17:46
凤翔,2024年12月25日　星期三　甲辰年冬月廿五,3℃,轻度雾霾-2 ~ 6℃,湿度：59%,风向：西风 2级,紫外线：中等,空气质量：轻度污染,PM: 89,07:55,17:46
扶风,2024年12月25日　星期三　甲辰年冬月廿五,2℃,轻度雾霾-1 ~ 7℃,湿度：71%,风向：西风 2级,紫外线：中等,空气质量：轻度污染,PM: 89,07:52,17:44
凤县,2024年12月25日　星期三　甲辰年冬月廿五,-5℃,晴-5 ~ 5℃,湿度：78%,风向：东北风 1级,紫外线：无,空气质量：良,PM: 40,07:56,17:51
福山,2024年12月25日　星期三　甲辰年冬月廿五,2℃,晴1 ~ 7℃,湿度：73%,风向：西南风 2级,紫外线：弱,空气质量：良,PM: 75,07:07,16:42
坊子,2024年12月25日　星期三　甲辰年冬月廿五,1℃,中度雾霾-0 ~ 8℃,湿度：71%,风向：西风 1级,紫外线：弱,空气质量：中度污染,PM: 117,07:13,16:53
肥城,2024年12月25日　星期三　甲辰年冬月廿五,-3℃,轻度雾霾-3 ~ 7℃,湿度：73%,风向：南风 2级,紫外线：弱,空气质量：轻度污染,PM: 109,07:21,17:04
费县,2024年12月25日　星期三　甲辰年冬月廿五,-1℃,重度雾霾-1 ~ 8℃,湿度：60%,风向：西风 1级,紫外线：很弱,空气质量：重度污染,PM: 216,07:14,17:01
古浪,2024年12月25日　星期三　甲辰年冬月廿五,-9℃,雾-16 ~ -5℃,湿度：68%,风向：西南风 2级,紫外线：很弱,空气质量：良,PM: 49,08:21,17:56
高台,2024年12月25日　星期三　甲辰年冬月廿五,-12℃,晴-13 ~ -5℃,湿度：67%,风向：南风 2级,紫外线：很弱,空气质量：良,PM: 29,08:38,18:02
甘州,2024年12月25日　星期三　甲辰年冬月廿五,-13℃,晴-16 ~ -5℃,湿度：78%,风向：南风 2级,紫外线：弱,空气质量：良,PM: 49,08:34,18:01
瓜州,2024年12月25日　星期三　甲辰年冬月廿五,-10℃,雾-11 ~ -6℃,湿度：55%,风向：西风 2级,紫外线：很弱,空气质量：优,PM: 0,08:58,18:15
甘谷,2024年12月25日　星期三　甲辰年冬月廿五,-1℃,晴-2 ~ 4℃,湿度：64%,风向：西北风 1级,紫外线：弱,空气质量：良,PM: 29,08:03,17:53
广河,2024年12月25日　星期三　甲辰年冬月廿五,-6℃,雾-8 ~ -2℃,湿度：87%,风向：西北风 1级,紫外线：很弱,空气质量：轻度污染,PM: 115,08:12,17:58
甘南,2024年12月25日　星期三　甲辰年冬月廿五,-8℃,雾-9 ~ 1℃,湿度：76%,风向：西风 0级,紫外线：无,空气质量：良,PM: 64,08:14,18:02
